country,iso,region_code,node,Population,Centroid_Lat,Centroid_Lon,Pop_Lat,Pop_Lon,Node_Verbose,region_description
United States,USA,PG,USAPG,2036875,45.5371,-122.65,45.5371,-122.65,USA - NW-PGE,Balancing Authority: Portland General Electric Company
United States,USA,FM,USAFM,1927699,28.4773,-81.337,28.4773,-81.337,USA - FLA-FMPP,Balancing Authority: Florida Municipal Power Pool
United States,USA,BA,USABA,1924167,38.5677,-121.4685,38.5677,-121.4685,USA - CAL-BANC,Balancing Authority: Balancing Authority of Northern California
United States,USA,SW,USASW,1644497,39.1238,-94.5541,39.1238,-94.5541,USA - CENT-SWPP,Balancing Authority: Southwest Power Pool
United States,USA,DU,USADU,1516107,35.2083,-80.8303,35.2083,-80.8303,USA - CAR-DUK,Balancing Authority: Duke Energy Carolinas
United States,USA,JE,USAJE,1220191,30.3322,-81.6749,30.3322,-81.6749,USA - FLA-JEA,Balancing Authority: JEA
United States,USA,PE,USAPE,1135344,40.7776,-111.9311,40.7776,-111.9311,USA - NW-PACE,Balancing Authority: PacifiCorp East
United States,USA,TV,USATV,1098486,36.1715,-86.7842,36.1715,-86.7842,USA - TEN-TVA,Balancing Authority: Tennessee Valley Authority
United States,USA,LG,USALG,1022630,38.1663,-85.6485,38.1663,-85.6485,USA - MIDW-LGEE,Balancing Authority: Louisville Gas and Electric Company and Kentucky Utilities Company
United States,USA,TP,USATP,875284,32.1541,-110.8787,32.1541,-110.8787,USA - SW-TEPC,Balancing Authority: Tucson Electric Power
United States,USA,EP,USAEP,794344,31.8476,-106.43,31.8476,-106.43,USA - SW-EPE,Balancing Authority: El Paso Electric Company
United States,USA,PN,USAPN,765693,35.1054,-106.6465,35.1054,-106.6465,USA - SW-PNM,Balancing Authority: Public Service Company of New Mexico
United States,USA,FL,USAFL,5711945,25.784,-80.2101,25.784,-80.2101,USA - FLA-FPL,Balancing Authority: Florida Power & Light Co.
United States,USA,AI,USAAI,715983,36.1283,-95.9042,36.1283,-95.9042,USA - MIDW-AECI,"Balancing Authority: Associated Electric Cooperative, Inc."
United States,USA,SG,USASG,685517,32.8168,-79.9687,32.8168,-79.9687,USA - CAR-SCEG,"Balancing Authority: Dominion Energy South Carolina, Inc."
